index,position,stimulusId,isOddball,targetMs,onsetMs,deltaMs,ioiMs
0,1,base_03,0,0.000,3.900,3.900,
1,2,base_02,0,166.667,169.600,2.933,165.700
2,3,base_04,0,333.333,336.300,2.967,166.700
3,4,base_03,0,500.000,502.900,2.900,166.600
4,5,oddball_01,1,666.667,669.500,2.833,166.600
5,6,base_02,0,833.333,836.300,2.967,166.800
6,7,base_03,0,1000.000,1002.900,2.900,166.600
7,8,base_01,0,1166.667,1169.500,2.833,166.600
8,9,base_02,0,1333.333,1336.200,2.867,166.700
9,10,oddball_01,1,1500.000,1503.000,3.000,166.800
10,11,base_01,0,1666.667,1669.400,2.733,166.400
11,12,base_04,0,1833.333,1836.300,2.967,166.900
12,13,base_03,0,2000.000,2003.000,3.000,166.700
13,14,base_02,0,2166.667,2169.500,2.833,166.500
14,15,oddball_01,1,2333.333,2336.200,2.867,166.700
15,16,base_03,0,2500.000,2502.800,2.800,166.600
16,17,base_01,0,2666.667,2669.600,2.933,166.800
17,18,base_04,0,2833.333,2836.100,2.767,166.500
18,19,base_03,0,3000.000,3002.800,2.800,166.700
19,20,oddball_01,1,3166.667,3169.500,2.833,166.700
20,21,base_03,0,3333.333,3336.200,2.867,166.700
21,22,base_01,0,3500.000,3502.800,2.800,166.600
22,23,base_02,0,3666.667,3669.400,2.733,166.600
23,24,base_01,0,3833.333,3836.100,2.767,166.700
24,25,oddball_01,1,4000.000,4002.900,2.900,166.800
25,26,base_01,0,4166.667,4169.300,2.633,166.400
26,27,base_02,0,4333.333,4336.000,2.667,166.700
27,28,base_01,0,4500.000,4502.900,2.900,166.900
28,29,base_04,0,4666.667,4669.400,2.733,166.500
29,30,oddball_01,1,4833.333,4836.000,2.667,166.600
30,31,base_03,0,5000.000,5002.700,2.700,166.700
31,32,base_04,0,5166.667,5169.600,2.933,166.900
32,33,base_03,0,5333.333,5336.000,2.667,166.400
33,34,base_01,0,5500.000,5502.800,2.800,166.800
34,35,oddball_01,1,5666.667,5669.400,2.733,166.600
35,36,base_01,0,5833.333,5836.100,2.767,166.700
36,37,base_04,0,6000.000,6002.700,2.700,166.600
37,38,base_01,0,6166.667,6169.300,2.633,166.600
38,39,base_03,0,6333.333,6336.300,2.967,167.000
39,40,oddball_01,1,6500.000,6502.800,2.800,166.500
40,41,base_02,0,6666.667,6669.200,2.533,166.400
41,42,base_01,0,6833.333,6836.000,2.667,166.800
42,43,base_04,0,7000.000,7002.700,2.700,166.700
43,44,base_01,0,7166.667,7169.300,2.633,166.600
44,45,oddball_01,1,7333.333,7335.900,2.567,166.600
45,46,base_03,0,7500.000,7502.600,2.600,166.700
46,47,base_01,0,7666.667,7669.300,2.633,166.700
47,48,base_04,0,7833.333,7836.000,2.667,166.700
48,49,base_03,0,8000.000,8002.900,2.900,166.900
49,50,oddball_01,1,8166.667,8169.400,2.733,166.500
50,51,base_02,0,8333.333,8335.900,2.567,166.500
51,52,base_04,0,8500.000,8502.600,2.600,166.700
52,53,base_02,0,8666.667,8669.300,2.633,166.700
